Source,"TIBIAL KNEE CENTRE ",,,MEDIAL PLATEAU,,,LATERAL PLATEAU,,,MEDIAL MALLEOLUS,,,LATERAL MALLEOLUS,,,TUBEROSITY,,,PCL,,,"ANKLE ",,,PCL OPP,,,Medial epicondyle,,,Lateral epicondyle,,,Plateau_Length,Knee_Centre_To_Ankle_Length
61_Tibia_R,-399.0593448,314.1635836,-1019.374901,-375.7748246,311.8929604,-1026.152289,-418.8536503,326.721454,-1022.703537,-372.1765339,312.4056747,-1395.311068,-404.7954688,367.1324999,-1396.683019,-425.220317,289.2273214,-1062.078213,-387.4194605,336.9771216,-1032.282695,-388.4860014,339.7690873,-1395.997044,-413.8359962,293.8477747,-1028.144083,-364.4920535,305.1039158,-1027.390011,-430.7056444,330.9159571,-1023.739564,45.68986032,377.6396113
62_Tibia_R,-320.724571,46.28542654,-650.3945245,-307.1342845,52.45893071,-654.7187195,-335.6681306,46.90960254,-652.5183032,-305.3096041,53.89014582,-890.2540935,-340.7920313,73.72361791,-891.1294432,-327.2248069,24.16105388,-677.6406338,-321.5708152,62.60441815,-658.6301194,-323.0508177,63.80688186,-890.6917686,-322.4083719,30.34588155,-655.9895492,-298.7341446,52.30701538,-655.5084266,-343.555095,45.44630592,-653.1793223,29.15162514,240.9464221
63_Tibia_R,-138.2423282,-55.25953102,-298.8120624,-134.2531806,-49.68131218,-300.7987359,-144.3314518,-58.4439588,-299.7877942,-133.8559502,-48.69270232,-409.0112258,-152.5297568,-48.95224599,-409.4133894,-135.7463183,-65.55558,-311.3297971,-142.3277653,-48.9609299,-302.5957583,-143.1928535,-48.82247415,-409.2123077,-135.25071,-61.98834985,-301.3825958,-130.8760373,-47.81210963,-301.1615527,-147.1333729,-60.83793691,-300.0914876,13.39318966,110.6984985
64_Tibia_R,-477.2182105,-606.1758791,-1548.442568,-473.7691071,-570.8064165,-1558.7375,-496.2937648,-636.2436639,-1553.498806,-474.5479261,-565.3405703,-2119.494065,-557.6786228,-614.8891195,-2121.578075,-439.3397324,-645.9147061,-1613.309405,-511.8722455,-588.4947568,-1568.049661,-516.1132744,-590.1148449,-2120.536071,-446.3582559,-628.6217878,-1561.763059,-463.4564677,-553.6677534,-1560.617615,-502.6652648,-654.2469835,-1555.072543,69.40343988,573.6390494
65_Tibia_R,-104.4124619,-723.502937,-1467.185215,-118.3388922,-692.8454412,-1476.939902,-105.8205023,-757.2131988,-1471.976117,-121.5674828,-688.7292563,-2008.269742,-166.308599,-768.7718928,-2010.244389,-54.50344322,-738.1664215,-1528.648046,-141.2254766,-725.4119275,-1485.76339,-143.9380409,-728.7505746,-2009.257066,-68.45541755,-727.3013204,-1479.806689,-117.9961957,-673.8960794,-1478.721354,-102.519541,-775.0049192,-1473.46727,65.76136758,543.536292
66_Tibia_R,160.8469264,-402.3894737,-869.7685435,144.6101011,-390.7780444,-875.5512625,170.1160138,-420.1134173,-872.6086595,141.7325005,-389.6218041,-1190.53125,142.4879684,-443.9766701,-1191.70185,190.8161969,-395.1242015,-906.2045957,142.5132451,-414.2811776,-880.7819532,142.1102344,-416.7992371,-1191.11655,180.4328659,-393.6816075,-877.2507351,139.1693114,-380.9480095,-876.6073329,177.0842963,-428.2691216,-873.4926363,38.98428656,322.2161482
67_Tibia_R,379.1950153,-298.5251853,-968.6325762,357.0695492,-296.367589,-975.0725998,398.0040021,-310.4579516,-971.7955198,353.6503738,-296.8547815,-1325.855436,384.6456072,-348.8574211,-1327.159095,404.0537496,-274.8301975,-1009.210207,368.1345398,-320.2031138,-980.8978478,369.1479905,-322.8561013,-1326.507266,393.2361163,-279.2206545,-976.9652465,346.3484106,-289.9164887,-976.2487107,409.2660291,-314.4436612,-972.7799756,43.41551573,358.8415107
68_Tibia_R,163.8322596,-23.64348324,-332.2339922,156.8900808,-26.79702752,-334.4428738,171.4657164,-23.96232431,-333.318859,155.957999,-27.52811964,-454.7588585,174.0831031,-37.65943742,-455.2060039,167.1527048,-12.34192953,-346.1518271,164.2645374,-31.97953701,-336.4408919,165.020551,-32.59377853,-454.9824313,164.6923774,-15.50125807,-335.092038,152.5991282,-26.71942626,-334.8462714,175.494529,-23.21484434,-333.6565203,14.89120897,123.0800517
69_Tibia_R,367.1637546,146.7661688,-793.6278282,356.5688056,131.9507371,-798.9043201,383.3361202,155.2238277,-796.2193165,355.5137841,129.3250456,-1086.310533,405.1103515,130.0143788,-1087.378657,360.5344942,174.1118888,-826.874219,378.0144427,130.0374428,-803.6771091,380.3120678,129.6697122,-1086.844596,359.2181868,164.6375286,-800.4550186,347.5993052,126.9862415,-799.8679407,390.7778631,161.5820973,-797.0259088,35.57154932,294.0089112
70_Tibia_R,460.2713474,584.6495009,-1493.454632,456.9447277,550.5360706,-1503.383973,478.6694949,613.6495255,-1498.331314,457.6958895,545.2643262,-2044.22708,537.874468,593.0533187,-2046.237084,423.7380011,622.9771319,-1556.017933,493.6947563,567.5962665,-1512.365442,497.7851787,569.1588225,-2045.232083,430.5072843,606.2983157,-1506.302089,446.9983084,534.0060317,-1505.197322,484.8147317,631.0135154,-1499.849165,66.93880087,553.2681123
71_Tibia_R,93.77783955,649.8126863,-1317.749407,106.2858345,622.277719,-1326.510559,95.0424682,680.0894891,-1322.052346,109.1855866,618.580776,-1803.72337,149.3697288,690.4709066,-1805.496896,48.95215629,662.982665,-1372.952123,126.8413736,651.5272422,-1334.435356,129.2776577,654.5258413,-1804.610133,61.48309357,653.2241966,-1329.085357,105.9780424,605.2583883,-1328.110566,92.07771652,696.0690865,-1323.391621,59.06343802,488.1760107
72_Tibia_R,-122.7365435,307.0490325,-663.6893041,-110.3468021,298.1887656,-668.1018904,-129.8094529,320.5735407,-665.8564951,-108.1510079,297.30648,-908.4518666,-108.7274785,338.7827364,-909.3451094,-145.6050232,301.5051628,-691.4923539,-108.7467662,316.123167,-672.0932436,-108.4392432,318.0446082,-908.8984883,-137.6818742,300.4043709,-669.3986972,-106.1951299,290.6878171,-668.90774,-135.1267003,326.7968673,-666.5310263,29.74751641,245.8716322
73_Tibia_L,119.167778267637,-225.11561985044,934.782318232057,90.102281859273,-229.730914223519,923.953001952279,147.700604243555,-223.785602131794,927.731379739332,35.2295167583127,-182.296392384784,463.891209919345,111.190999699718,-137.831915084238,446.773383159539,132.882468938049,-273.405349847942,879.896492837969,129.230402174085,-202.563080334849,922.824830636925,73.2102554482554,-160.06415090659,455.332293563425,133.618704740863,-251.246255450592,921.431938391738,68.8518984709573,-229.881103462348,921.672329326022,168.862642641239,-225.071565809586,925.528633620558,58.0274901753763,486.020692635816
74_Tibia_L,83.5939042455908,-111.356587858038,511.01169985286,68.2951551967028,-116.334135943205,505.09170413574,98.8859939013127,-108.19842314003,507.157206678941,34.6110493810495,-95.4152060030677,253.592554228049,71.8227277918026,-64.9113415125456,244.234857168846,95.1285213762466,-136.256991138804,481.007603299659,87.0984250608859,-98.3191899654209,504.474973662409,53.2168868431651,-80.1632724687196,248.913704071567,93.6310590027188,-124.229592803641,503.713529826724,56.8342048553617,-118.232498600512,503.844942860071,110.422059406621,-107.083042571864,505.953045007775,31.7215311141058,265.689942421266
75_Tibia_L,95.0231627101671,-92.0997116919337,485.653624639634,81.4026144279725,-99.0465072943913,480.027398510764,108.907950751018,-86.8617176693016,481.990404048792,46.6741000998169,-84.4182820461532,241.008460624164,77.0687492493108,-50.2527137577338,232.115123159698,109.55241572052,-113.75825200881,457.138429685594,96.3744805479294,-79.3407961022064,479.441272224644,61.8714228465559,-67.335496951082,236.561790345781,106.358650270071,-102.691051987206,478.717613727458,70.9267280645189,-102.532373451351,478.842505615429,119.570753174829,-84.0996505171789,480.845996825978,30.1474047837267,252.50553677017
76_Tibia_L,162.483337600084,-114.216096768737,728.893499812906,143.923612115947,-127.71173303326,720.449375346927,181.835965405398,-103.191501626757,723.395553248568,89.0085309028022,-114.18097873401,361.71767580077,126.043170652781,-56.398677398383,348.370105556027,189.106198681399,-142.910875791754,686.096454360357,161.490895291552,-94.9853614653831,719.569687399906,107.525847844755,-85.289827085854,355.043888357859,181.773438597939,-127.25500948379,718.483584161051,129.212873745894,-135.338663762259,718.671028217273,196.993719984271,-96.5936256476963,721.677969061965,45.246748440089,378.97306862502
77_Tibia_L,157.83266366163,-77.3382701238864,645.04094699418,143.478589791639,-91.7036904873343,637.568242074367,173.22187100029,-65.0229294595602,640.175489064738,93.6061332099976,-87.47928778701,320.105354489993,117.977498829395,-31.8468645068083,308.29330053019,185.07519365199,-98.7337192690433,607.167311498253,154.302939196453,-60.6667723729894,636.789754206728,105.791813320319,-59.6630756960712,314.199325456509,176.498525028891,-86.0646266814587,635.82859724497,131.676323748316,-100.406641301348,635.994477571197,185.557318120332,-57.1575540738962,638.655497281914,40.0415224853754,335.375671663858
78_Tibia_L,244.156354234541,-75.1353067887523,937.513299524514,226.816940769167,-99.0208009191232,926.652345226351,263.447840624363,-53.9573961389913,930.441761603727,154.263415599603,-104.29579926857,465.24647540877,176.600229133491,-18.8930073576319,448.078638647987,288.128190749035,-99.654977489583,882.467124325505,235.298848248209,-52.0055263886016,925.520877940698,165.431818389024,-61.5944032796552,456.662554043667,272.935686317177,-83.41823653366,924.123916338838,211.853261122283,-114.197500753436,924.36500957903,279.367348728898,-39.8618284565852,928.232580127411,58.1970184035277,487.440609758174
79_Tibia_L,191.680865702531,-27.2970597387907,710.559201545719,181.532767513765,-47.2332914761871,702.327477240537,203.611285632911,-9.15624515234372,705.199548150676,127.845510555764,-59.7843752732121,352.619172715823,134.440823885458,6.7954714600483,339.607341963986,227.504813510974,-40.4386806313719,668.838656015975,182.30786996859,-11.032575027318,701.469916615556,131.14316423912,-26.4944523531386,346.113255077735,214.206785990377,-30.0853482589378,700.411132787197,172.130559466721,-60.3685477822383,700.593861949904,213.85719929238,3.28301627031138,703.525167396102,44.1086296590408,369.440530226494
80_Tibia_L,121.515135632128,1.89845067381305,446.010546353467,117.181288342508,-11.4577121668966,440.843579481743,127.130250038981,14.3165340510193,442.646348220801,85.1296702645536,-24.510575755036,221.33535043325,82.6808849298454,17.4139810554254,213.167960960196,145.015013070609,-2.7312148162058,419.822998200678,114.10719156064,11.0614508373204,440.305297686156,83.9052757926382,-3.54829791941263,217.251654276783,135.754129498151,2.3816901285346,439.640710199668,112.642061077122,-20.5242907805545,439.755407375521,132.260883699886,23.0344679357763,441.595357010602,27.686523473816,231.893939833571
81_Tibia_L,229.982651519282,40.1180004333393,856.77321428497,225.773562082891,13.4747327765645,846.847622051816,236.904613749605,65.3664592715264,850.310688070778,168.88383705508,-20.9224363275547,425.17873439544,151.639124447782,57.8860063769178,409.489418103803,275.960691105825,38.3958965083711,806.467700237043,213.173871190778,55.2770158165927,845.813598466573,160.261477498771,18.4817834016723,417.334073521958,256.853368879649,45.3137640593271,844.536945343396,219.885755091676,-5.09153708184298,844.757275263458,244.019278011781,83.4489595578058,848.291764696184,53.1850017964339,445.4614758077
82_Tibia_L,185.908298480304,63.6327606431761,721.136395212145,185.917268157204,40.9293073710849,712.78213566712,188.33826426724,85.5338744266435,715.696959454392,143.152395388484,4.84341916453969,357.86816713064,118.43977489213,68.0883450016202,344.66264575666,224.357794755431,68.2550191574863,678.794808833198,169.938744807323,74.0216495727505,711.911809624716,130.796082649985,36.4658803055549,351.265404147806,207.562507799606,71.4901790628825,710.837265024308,183.467184673415,24.719438597957,711.022714244314,191.871963848418,101.503112118933,713.997654317059,44.7652188879881,374.939922856879
83_Tibia_L,132.180404904935,69.9713560236413,548.873087544867,134.89035226174,52.9050632156481,542.514473195247,131.399462735315,86.7248824696719,544.733010967563,107.038378652439,20.6856005496763,272.381490008187,80.9303164158987,65.2876569464957,262.330471452892,160.534528301884,78.0241662514048,516.645956309141,118.938303771367,75.8797941108962,541.852048520475,93.9843458737073,42.9866271153163,267.355978983121,147.523445056242,78.4564594285118,541.03418852,134.978538387669,40.4275448518899,541.175338081502,132.15453783733,99.1505275931778,543.439631707271,34.0718123073565,285.375186259665
84_Tibia_L,189.719115177312,142.419607611438,870.614746789228,198.199403920303,116.355005698752,860.52880242878,184.338524523361,168.472863862377,864.047815739355,162.559654579576,58.9671234566025,432.047676110856,110.589975084653,122.364959526713,416.104892299695,232.142132700151,162.07122767299,819.496525952354,167.507195433909,148.390287936573,859.478073756559,136.574812635887,90.6660385216499,424.076281433546,211.650957333488,159.519988972329,858.180795763922,201.433659661769,96.8288923391877,858.404685206737,182.438241670333,188.126951531484,861.996275806439,54.0442279239906,452.658093762117
85_Tibia_L,133.091334411355,137.315951296198,701.807723146883,143.130000978593,117.633186681743,693.677383437503,125.522020661029,157.380563165526,696.514080987511,121.991063813729,67.4477492992832,348.276200214271,72.6191277794677,111.370410293079,335.42462740506,164.389630347581,158.311865785228,660.601021435074,114.653696873915,139.268711961109,692.830384808298,97.3050944225284,89.4090771545655,341.850411575358,148.396654994959,153.696623263959,691.784641306182,148.167352017877,102.494706119312,691.965119917046,121.530616168479,172.789152151087,694.860322451288,43.5653734196963,364.89038041083
86_Tibia_L,69.7136426665264,99.1743340665215,444.891941026473,77.95092261847,87.8461053229865,439.737933033669,62.9846026448974,110.986523570858,441.536180384766,69.6922078058252,54.3277969846443,220.780235976717,34.4238452744234,76.932488572391,212.633330515638,87.2279653215542,115.42402808243,418.77007188308,57.9758522229686,98.5685808459026,439.201001261952,52.0580259417563,65.6301409882913,216.706781829799,77.6721540103151,110.948359322248,438.538080577087,82.6061431918045,78.8671681407161,438.652490089626,58.9574822881788,120.238304328854,440.487825086152,27.6170849977599,231.312344177333
87_Tibia_L,49.0017807672327,100.003291646769,408.700052637131,58.1037580696886,90.9085035196587,403.965322371865,41.1987406637962,109.753943723451,405.617282587984,55.4271627093037,59.3091519978025,202.81979902071,20.1782774580628,74.7509289235959,195.335643018489,62.5580072867557,117.264247703763,384.703193379009,38.4386652935838,97.7668466870574,403.472069914072,37.8027197980308,67.0300387503645,199.077719718443,54.530828808337,111.830042427267,402.863077721106,63.6179761551613,83.4305491733167,402.968180038062,36.2152131077375,117.569723342957,404.654210825575,25.3704395414008,212.495121900329
88_Tibia_L,67.0099160595874,217.752445580227,836.127383927699,88.3123506289706,202.288175977869,826.440970616137,48.1222575723745,234.957684220981,829.82058646141,93.0168924977446,137.580838785397,414.933119948712,16.8498525028663,157.502072409328,399.621872155457,88.8779451619502,256.969016321152,787.034091610976,46.3814697360967,209.852820783191,825.431864097827,54.9333724704768,147.541452049983,407.27749339015,74.3971012679244,243.419481618699,824.185974732627,101.847789897465,188.942720160414,824.400995319862,35.551033103086,249.155601916241,827.850313475043,51.9033924903392,434.727104206342
89_Tibia_L,13.1591860048936,92.4042438817764,342.54167995029,22.7699127344195,87.5121158306323,338.573384745259,4.41398209986972,98.1555818091084,339.95793369256,28.8204561932578,61.6309181059227,169.988318414574,-3.2759159334163,64.8103431317858,163.71566111133,19.4944116807023,109.674015686943,322.429315318162,5.31851079517964,87.8857720952079,338.159977591426,12.7722703451939,63.2206291815569,166.851988672421,14.5033456917988,103.263390538438,337.649566086683,29.1020702124518,82.9795615653851,337.737654952795,-1.58265476837151,103.094864095377,339.150759293438,21.2635964334083,178.09744717994
90_Tibia_L,-2.30580696492131,147.589005049657,541.712375462782,13.9162280489652,142.325231066401,535.436716914115,-17.3884759734475,154.408971502695,537.626311182748,29.7698839742197,103.396200557167,268.827944624568,-21.1505515305066,100.421971962106,258.908053740931,3.31725982285058,176.131322118983,509.905686061876,-13.4349397298798,138.591516059608,534.782934368971,4.30966691368626,101.909084067865,263.867997458129,-2.89273656798745,164.883302806577,533.975744339606,24.9282498010972,136.812008106089,534.115052434668,-27.9770432448961,160.640500713835,536.349805616405,33.6273043808718,281.652122421142
91_Tibia_L,-34.0510903297845,195.203149623043,727.206286370963,-11.4369943164766,191.630586607525,718.781708025656,-55.4813097649607,201.078326815778,721.721066232843,17.7584067404485,143.34410311298,360.880386231091,-49.1321005703186,128.707250319731,347.563712406662,-32.5894143820063,234.228085119248,684.508305802902,-46.9176588663557,180.936304538118,717.904056345016,-15.686845537368,136.025673955584,354.222047003709,-38.4611161199456,218.010298887232,716.820467174381,4.32156107529241,186.633172839724,717.007477342618,-70.8292544278449,207.117064361034,720.007457841233,45.1420130813679,378.095836964039
