Source,HIP CENTRE ,,,FEMUR KNEE CENTRE ,,,MEDIAL EPICONDYLE,,,LATERAL EPICONDYLE,,,MEDIAL DISTAL CONDYLE,,,LATERAL DISTAL CONDYLE,,,MEDIAL POSTERIOR CONDYLE,,,LATERAL POSTERIOR CONDYLE,,,Medial Anterior Cortex,,,Lateral Anterior Cortex,,,Medial Posterior Proximal,,,Lateral Posterior Proximal,,,MA Length,TEA Length,AP Length
46_Femur_R,-26.78310147,374.2163829,51.73911799,-23.0323073,229.3402397,41.99453926,-10.23583253,235.7413736,48.35918606,-34.87834091,236.3027961,34.87525889,-14.04582898,226.4824275,42.37808176,-28.81484049,227.4885336,37.677614,-12.1468656,234.2707485,34.88996772,-26.93821541,234.3802482,29.08647748,-22.75874552,233.7857179,54.06733192,-35.06236639,232.4697961,49.14624166,-13.73983279,241.3925704,39.48119761,-27.31690605,240.7883295,32.92566791,145.2519265,28.09599093,21.92301411
47_Femur_R,-24.6375967,274.3226214,213.3375996,-21.18726612,163.3888833,138.9392715,-9.415874182,165.5609549,146.9538539,-32.08435355,172.2101001,136.4700942,-12.92066455,160.9357952,137.9303798,-26.50657989,163.8992752,134.6485026,-11.17382078,170.5845021,135.5471785,-24.78028498,173.3410311,130.9741862,-20.93561845,161.3775371,150.6017567,-32.25363737,162.5926458,146.0761114,-12.6391807,174.1463878,142.4804447,-25.12863997,176.6802127,136.9800568,133.6162799,25.84531497,20.1668347
48_Femur_R,-30.15500558,160.2160022,394.0080604,-25.93199879,88.15971803,247.2601372,-11.52449007,85.55734417,257.0845631,-39.26940894,99.0209686,250.0412264,-15.8141525,86.17694225,244.6895273,-32.44253383,91.32654333,243.0244157,-13.6761159,97.86268885,248.0681483,-30.32964784,103.5830545,244.9078513,-25.62399648,78.89065403,258.3910822,-39.47660263,82.94819243,254.3376663,-15.46963241,97.39520443,257.5969427,-30.75601438,103.4470509,253.3173499,163.5386647,31.63318348,24.68304925
49_Femur_R,-83.13593901,-160.600525,1161.584308,-71.49330696,-130.3529189,711.8823113,-31.77247973,-150.1090658,731.7517157,-108.2639225,-108.2543558,733.4943961,-43.59887829,-131.5434519,703.0115349,-89.44254734,-116.9529908,706.1345332,-37.70441145,-108.3000126,727.18683,-83.61741956,-90.28572063,727.5267219,-70.644159,-167.8274046,725.6812733,-108.8351458,-152.5521215,721.5965937,-42.64905251,-122.5513946,749.2932822,-84.79289215,-102.2027386,747.4176915,450.8684447,87.21120632,68.05001152
50_Femur_R,266.0358014,-83.97399068,547.7269237,153.7388995,-68.1582753,341.0477029,176.9200099,-78.48826955,339.6605132,142.7385284,-56.60349032,360.4473685,164.0509846,-68.78077518,329.7381625,144.1083863,-61.15178862,343.1375809,173.0404627,-56.62736315,339.1442573,152.3388578,-47.20814121,351.301549,157.730979,-87.75274497,347.074191,139.369334,-79.76568212,355.2091092,176.5808706,-64.07905369,350.4472815,157.0068216,-53.43925133,360.6159498,235.747813,45.60055471,35.58164603
51_Femur_R,477.2303216,-79.47319871,323.0332436,287.3899391,-64.50516539,206.7762038,305.7329577,-74.28149826,194.6699201,287.5538863,-53.56968744,227.881727,290.4901243,-65.09430085,192.6271148,280.4856201,-57.87420854,213.046257,302.3089544,-53.59228075,196.082599,291.0945858,-44.67790511,215.8428462,293.5136238,-83.0494214,209.8265084,282.3137144,-75.49044477,225.1827116,310.5593087,-60.64457966,203.6713298,299.3280756,-50.57504361,221.2681232,223.1123308,43.15648115,33.67456045
52_Femur_R,1406.31996,-194.4376507,100.6519541,861.8696867,-157.8171386,86.55632132,885.9254009,-181.7357329,38.46666326,888.0352488,-131.0626015,131.0741839,851.1299154,-159.2585065,52.78478055,854.9109021,-141.5939628,108.2873096,880.3987337,-131.1178779,45.64840111,880.8102379,-109.3081322,101.2348784,878.5759694,-203.1871707,85.52826531,873.6306835,-184.6935189,131.7657589,907.162822,-148.3719013,51.63483478,904.8920607,-123.7359616,102.6580128,545.8624816,105.5858446,82.38755365
53_Femur_R,905.9614172,-138.8962133,-440.0334569,564.1060297,-112.7364112,-254.2900581,561.8115646,-129.8226193,-292.6325072,596.1938233,-93.62435201,-236.0950209,545.3996145,-113.7660499,-271.3466439,567.5627683,-101.1474125,-238.3608186,560.9576574,-93.6638386,-286.2155868,581.0662858,-78.0840829,-251.9743353,574.0740729,-145.1464183,-260.8931112,587.5295409,-131.9355089,-230.5222436,579.6532945,-105.9892216,-292.0715577,596.4726633,-88.39057892,-259.6953271,389.9359581,75.42507294,58.8534123
54_Femur_R,244.8609022,-60.24110373,-361.7431005,156.7374529,-48.89525554,-217.8430894,147.5608261,-56.30576741,-231.7471943,172.7355508,-40.60610559,-217.9673622,146.0123689,-49.34182333,-220.1930461,161.4901863,-43.86895528,-212.6095792,148.6316441,-40.62323143,-229.1517816,163.6100157,-33.86608768,-220.6512312,159.0495999,-62.95189939,-222.4848747,170.6896829,-57.22215524,-213.9952843,154.3839421,-45.96891119,-235.4055937,167.7224043,-38.33614976,-226.8922599,169.1203234,32.7128403,25.52549441
55_Femur_R,63.06887305,-121.8353247,-881.2050974,54.23649933,-98.88878134,-540.0506165,24.10334826,-113.8762577,-555.1240127,82.13155064,-82.12429309,-556.4460509,33.07513156,-99.79194759,-533.3210375,67.85321404,-88.72328161,-535.6902173,28.60345078,-82.15892946,-551.6609834,63.43413549,-68.49286507,-551.9188334,53.59231578,-127.3178051,-550.5188327,82.56489402,-115.729617,-547.420099,32.35457145,-92.97036201,-568.4314565,64.32587657,-77.53339439,-567.0085893,342.0393757,66.16046641,51.62433466
56_Femur_R,-650.1710704,-205.2259851,-1338.602543,-375.7260651,-166.5735911,-833.4943977,-432.378919,-191.8193039,-830.1042127,-348.8420029,-138.3345839,-880.9056907,-400.9280093,-168.094933,-805.8547494,-352.1898304,-149.4502757,-838.6018991,-422.8976036,-138.3929273,-828.8425229,-372.3044708,-115.3730721,-858.5540102,-385.4824008,-214.4609704,-848.2226718,-340.6079505,-194.9412021,-868.1037873,-431.5500885,-156.6042867,-856.466246,-383.7126158,-130.6014268,-881.3176905,576.1495526,111.4442542,86.95881068
57_Femur_R,-1108.783691,-184.6458253,-750.5264771,-667.7138122,-149.8695119,-480.4180958,-710.331473,-172.5835725,-452.2906923,-668.0947226,-124.4623258,-529.4540831,-674.9166966,-151.2382929,-447.5444951,-651.6725091,-134.4633307,-494.9857635,-702.3762385,-124.5148184,-455.5728712,-676.3210857,-103.8034054,-501.4832814,-681.9414114,-192.9547219,-487.5050891,-655.9198527,-175.3924053,-523.1832655,-721.5448829,-140.8999341,-473.2043179,-695.4505476,-117.5046534,-514.0882195,518.3730005,100.2685711,78.23853962
58_Femur_R,-682.8789775,-94.41477607,-48.87444213,-418.5055373,-76.63263647,-42.0299035,-430.186479,-88.24699569,-18.67859124,-431.2109762,-63.64120391,-63.64682805,-413.2905334,-77.33253397,-25.6311636,-415.1264999,-68.75500833,-52.58200793,-427.5028473,-63.66804493,-22.16588996,-427.702665,-53.07769757,-49.15749773,-426.6177518,-98.66335635,-41.53070143,-424.2164265,-89.68323352,-63.98264214,-440.4989178,-72.0462307,-25.07277447,-439.3962845,-60.08354382,-49.84854144,265.0591785,51.27023411,40.00563883
59_Femur_R,-1210.468715,-185.5813257,587.9353393,-753.7105753,-150.6288195,339.7607824,-750.6449059,-173.45796,390.990707,-796.5835605,-125.092909,315.4501187,-728.7166519,-152.0045354,362.5503439,-758.329176,-135.1445836,318.4774852,-749.5039877,-125.1456676,382.4169628,-776.3714294,-104.329321,336.6667102,-767.0290283,-193.932319,348.5832213,-785.007082,-176.2810236,308.004247,-774.4835104,-141.6137978,390.2412139,-796.9561228,-118.0999858,346.9828439,520.9993153,100.7765777,78.63493193
60_Femur_R,-568.5183667,-139.8678744,839.8956095,-363.9132256,-113.525069,505.7883732,-342.6069213,-130.7308053,538.0709424,-401.0576306,-94.27930969,506.0769101,-339.0117113,-114.5619107,511.2445059,-374.9481283,-101.8549984,493.6372024,-345.093148,-94.31907251,532.0449099,-379.869951,-78.63032721,512.3083206,-369.2815716,-146.1618033,516.5656765,-396.3075316,-132.8584758,496.8545344,-358.4488411,-106.7306789,546.5650191,-389.4181003,-89.00892326,526.7987493,392.6637907,75.9527159,59.2651267
61_Femur_R,-80.24584294,-155.0174889,1121.203574,-69.00794951,-125.8213954,687.1347918,-30.66795718,-144.8907496,706.3134662,-104.5002898,-104.4910557,707.9955649,-42.08322876,-126.9705413,678.5723946,-86.33321151,-112.8872957,681.5868266,-36.39367421,-104.5351253,701.9072719,-80.71058554,-87.14707314,702.235348,-68.1883209,-161.993137,700.4540536,-105.0516554,-147.248876,696.5113718,-41.16642225,-118.2910794,723.2452265,-81.8451946,-98.64981389,721.4348379,435.1946804,84.1794397,65.68435507
62_Femur_R,5.077211348,-110.4747893,710.3475622,1.99447903,-90.8956244,435.3397864,29.07153693,-89.21324199,447.4905902,-24.23636946,-90.43537871,448.5562974,17.13148948,-82.99694782,429.9150107,-11.60875184,-89.28725619,431.8248283,13.14615001,-68.88481107,444.6990103,-16.67770692,-73.38304843,444.9068655,13.90263992,-110.4825995,443.7783121,-10.99411039,-114.0702884,441.2803942,14.88504892,-77.94429832,458.2178434,-13.65641418,-80.0537624,457.0708571,275.7210976,53.3325626,41.61485264
63_Femur_R,41.09881193,-64.1870081,489.5571416,32.51211011,-53.56351753,300.0273568,48.09324314,-43.22891264,308.4014444,16.69770682,-62.32770575,309.1359083,38.82478782,-43.63315449,296.2887113,23.83883309,-57.29110303,297.6049189,31.58325,-36.58367342,306.4775442,15.33301286,-49.54543243,306.6207938,46.36893515,-61.1505163,305.8430176,32.74566183,-71.8709861,304.1215033,35.74291436,-41.39159567,315.79445,19.43492327,-52.48572222,315.0039702,190.0213918,36.75572113,28.68011294
64_Femur_R,129.6084725,-67.09269517,937.4263741,105.1979295,-57.69681208,574.5060858,121.1416136,-25.64115258,590.5411713,87.36385947,-87.37158005,591.9475562,106.1587182,-35.18533965,567.3471566,94.38386638,-72.18227924,569.8674911,87.40070566,-30.42836365,586.8571992,72.86274029,-67.48126151,587.1315001,135.4407376,-57.01152933,585.6421788,123.113218,-87.83257094,582.3457445,98.9019124,-34.41880748,604.6976359,82.4800594,-68.42989607,603.1839892,363.8616398,70.38153355,54.91799015
65_Femur_R,46.66559097,2.144661868,300.0574971,38.39516739,0.842486717,183.8916238,37.68451323,12.28009086,189.0242377,38.20075528,-10.23767061,189.4744025,35.05869205,7.236502422,181.6001475,37.71577752,-4.903646054,182.4068725,29.09759264,5.553057514,187.8450481,30.99769045,-7.044820399,187.9328481,46.66889004,5.872605973,187.4561365,48.18436364,-4.644015721,186.4009925,32.92440534,6.287584784,193.5555305,33.81546282,-5.768597902,193.0710327,116.4671872,22.52817649,17.5785055
66_Femur_R,63.47801018,40.644842,484.1495833,52.97186474,32.1529873,296.7133096,42.751414,47.562014,304.9948987,61.63924534,16.51326702,305.7212497,43.15119067,38.39593634,293.0159605,56.65827602,23.57551371,294.3176296,36.17957688,31.23438721,303.0922494,48.99816268,15.16364721,303.2339168,60.47505892,45.8567524,302.4647318,71.07711237,32.38395926,300.762233,40.9343917,35.34810468,312.3062424,51.90597457,19.22024867,311.5244942,187.9224505,36.34972418,28.36331767
67_Femur_R,97.25525042,187.8759591,1358.86085,83.63530327,152.4912802,832.7841518,37.16852795,175.6026932,856.0280573,126.6508206,126.6396291,858.0667041,51.00345142,153.8840062,822.4068158,104.6329355,136.8155883,826.0602055,44.10790353,126.69304,850.6878987,97.81850276,105.6193083,851.0855158,82.6419411,196.3302088,848.9266472,127.319057,178.4606628,844.14825,49.8923129,143.3647916,876.5487787,99.1936106,119.5602414,874.3546488,527.4412487,102.0226368,79.6072191
68_Femur_R,-10.69389076,232.6878375,1496.171562,-4.200877098,191.4491659,916.9356563,-61.23200687,187.9056432,942.5283211,51.04792172,190.4797722,944.7729699,-36.08324816,174.8125561,905.509707,24.45096638,188.0615359,909.5322659,-27.68911563,145.0888281,936.648548,35.12746737,154.5632533,937.0863437,-29.28247464,232.7042876,934.7093249,23.1563761,240.2608676,929.4480783,-31.35167638,164.1703988,965.1226286,28.76386098,168.6134634,962.7067854,580.7383419,112.3318608,87.65140106
69_Femur_R,-126.0421471,196.8492016,1501.377543,-99.70838504,164.2690004,920.1261657,-147.4927216,132.5747561,945.8078811,-51.2086535,191.1470791,948.0603402,-119.0681528,133.814488,908.6604594,-73.10911351,175.7007878,912.6970149,-96.85974983,112.1950862,939.9076491,-47.02339974,151.9463067,940.3469681,-142.2046008,187.5368656,937.9616784,-100.4246432,220.4144834,932.6821251,-109.6166399,126.9400585,968.4808062,-59.60316958,160.9636097,966.056557,582.7590412,112.7227234,87.95638715
70_Femur_R,-44.09316248,22.82512132,318.9150572,-35.78862792,19.62861579,195.4485667,-41.21271353,8.723191354,200.9037473,-29.72142774,29.7240543,201.3822034,-36.11549089,11.97015031,193.0130791,-32.10965359,24.55661196,193.8705039,-29.73396291,10.35181386,199.6504498,-24.7881067,22.95731267,199.7437677,-46.07731526,19.39548069,199.2370965,-41.88345884,29.88088468,198.1156404,-33.6467054,11.70937394,205.7198159,-28.05994538,23.28004078,205.2048691,123.7867409,23.94399327,18.68325284
71_Femur_R,-189.6025512,-8.713772891,1219.135251,-155.999775,-3.423028138,747.1526729,-153.1123832,-49.8940763,768.0065112,-155.2098775,41.59571165,769.8355331,-142.4436574,-29.4019489,737.842392,-153.2394102,19.92354072,741.1201199,-118.223678,-22.56210303,763.2154573,-125.9437857,28.62314379,763.5721892,-189.6159553,-23.86043017,761.6353074,-195.7733328,18.86866126,757.3482515,-133.7720389,-25.54649134,786.4171784,-137.3924103,23.43784481,784.4486611,473.206818,91.53210422,71.42156392
72_Femur_R,-187.2507547,-119.8962809,1428.169764,-156.2591773,-94.84656372,875.2604404,-126.1103571,-140.3009166,899.6899049,-181.82667,-48.71169877,901.8325333,-127.2896393,-113.2623413,864.3538066,-167.1335461,-69.54428347,868.1935381,-106.7244083,-92.13682912,894.0773707,-144.5373431,-44.73051968,894.4952683,-178.3924919,-135.2706468,892.2262863,-209.6669838,-95.52789687,887.2041662,-120.7504097,-104.2716881,921.257289,-153.1149587,-56.69689484,918.9512472,554.3434732,107.2263177,83.66759802
73_Femur_R,-240.0139037,194.93543,-348.2210863,-246.1843251,220.6901329,-606.6971842,-222.737213,211.2105073,-594.7154812,-267.6580435,227.4091268,-595.1494485,-230.6583386,219.1999395,-613.2521769,-256.5959534,221.8324352,-612.1610638,-225.0746371,233.2626314,-601.0676732,-257.0305728,240.7867959,-601.4455606,-242.9267991,200.4575088,-602.015163,-264.5068085,204.2331219,-600.3254294,-228.0132901,226.7364938,-590.3326073,-255.9304934,233.9267871,-590.1206773,259.8293132,47.75421043,37.36005211
74_Femur_R,-477.7064162,682.5423735,-406.2271426,-489.9875792,984.1612232,-826.125697,-443.3201332,955.8976723,-814.9069214,-532.7273244,984.2506914,-799.5346561,-459.085772,988.1159075,-838.9073589,-510.7101355,991.5676373,-834.4068698,-447.972374,1000.229834,-803.9105529,-511.5751707,1013.575106,-797.0741298,-483.5040337,944.6273818,-838.1901957,-526.4553328,949.4537485,-831.5202902,-453.8212576,978.2977437,-791.9013689,-509.3856519,990.4805654,-784.3805492,517.1455824,95.04654686,74.3587617
75_Femur_R,-439.8771105,731.3193508,-9.69782803,-451.185735,1165.167405,-205.6770603,-408.2138581,1137.463585,-209.7433881,-490.5409435,1152.996096,-184.4309672,-422.7310248,1174.205795,-214.0489794,-470.2672836,1174.886311,-208.8708908,-412.4976906,1167.753274,-180.5636243,-471.0638171,1175.247874,-168.967717,-445.2156178,1139.195887,-233.4994278,-484.7656274,1139.973791,-225.958458,-417.8834043,1144.73454,-181.0846065,-469.047685,1150.987049,-169.4781285,476.1931106,87.51986369,68.4703323
76_Femur_R,-120.8772694,175.3732321,98.17457284,-123.9848547,305.5485445,111.1453138,-112.1762768,299.514246,106.3711268,-134.79958,299.7328033,114.5291745,-116.1655625,308.84981,110.3948135,-129.2284226,308.300297,111.7206071,-113.3534646,302.7133758,117.4771523,-129.4473082,302.9036898,121.266518,-122.3442795,303.1905564,100.9556359,-133.2125358,302.3395624,102.8571333,-114.833447,297.3069163,114.190419,-128.8932796,297.2001828,117.8116385,130.856827,24.0502673,18.81549782
77_Femur_R,-548.0570565,466.0512073,783.0586976,-562.1468359,947.7871814,1129.096208,-508.6067908,934.9162445,1096.670354,-611.1807574,917.2801437,1129.198852,-526.6941962,962.451167,1133.633289,-585.9211517,957.287902,1137.593346,-513.9441556,922.3004681,1147.531203,-586.9135785,914.4572619,1162.8418,-554.7084747,961.628389,1083.740316,-603.9851052,953.9762229,1089.27745,-520.6543898,908.5227213,1122.369228,-584.4016146,899.8943291,1136.346184,593.304331,109.0438162,85.30939185
78_Femur_R,-368.8129336,8.131099164,613.1713352,-378.2945977,172.4489822,976.9292348,-342.2650258,175.858376,953.7010945,-411.2917906,154.6352934,966.7242564,-354.4368772,179.4683791,984.5074305,-394.293434,175.1268346,985.0780067,-345.8567853,151.3927377,979.0973446,-394.9612839,141.6702026,985.381157,-373.2889805,195.7765178,955.153535,-406.4495035,189.4538265,955.805765,-350.3724122,151.8295528,959.7973929,-393.2708672,142.0981548,965.0397804,399.2619167,73.38062578,57.40863426
79_Femur_R,-474.4087556,-385.3071564,688.2898434,-486.6051404,-436.2136097,1199.190762,-440.259845,-417.4762893,1175.507864,-529.0498483,-449.4942966,1176.365639,-455.9166518,-433.2681103,1212.147286,-507.1846466,-438.4714715,1209.990605,-444.8799708,-461.0642673,1188.063535,-508.0437103,-475.9364454,1188.810463,-480.1663515,-396.2220346,1189.936332,-522.821153,-403.6848688,1186.596424,-450.6884789,-448.1647779,1166.844725,-505.8693059,-462.3770301,1166.425827,513.5756686,94.39042989,73.84545465
80_Femur_R,-156.7878255,-224.0169504,133.3276426,-160.8186209,-323.0111484,271.1423737,-145.5019178,-313.73478,267.460264,-174.846215,-323.0405127,262.4149391,-150.6763516,-324.3091137,275.3374376,-167.6199626,-325.4420045,273.860334,-147.0288278,-328.2850204,263.8511504,-167.9038754,-332.6650666,261.6073708,-158.6906591,-310.0357627,275.1020578,-172.7876872,-311.6198225,272.9129309,-148.9484875,-321.0866983,259.9096211,-167.1852543,-325.0852171,257.441216,169.732138,31.19518781,24.40525831
81_Femur_R,-116.7963255,-194.1801719,2.574970718,-119.7989954,-309.3756603,54.61144557,-108.3890875,-302.0197322,55.69113836,-130.2486043,-306.1439299,48.97017544,-112.2436907,-311.7755366,56.83436049,-124.8655349,-311.9562277,55.45947256,-109.5265322,-310.0622611,47.94331719,-125.0770308,-312.0522298,44.86436778,-118.2138078,-302.4796936,61.99885039,-128.7151403,-302.6862429,59.99656944,-110.9565489,-303.9503186,48.08164857,-124.5417067,-305.6104871,44.99989244,126.4389627,23.2383051,18.1802668
82_Femur_R,-285.8319945,-414.6956742,-232.1481459,-293.1803349,-722.5142524,-262.8193612,-265.2572241,-708.2452705,-251.5300973,-318.7533357,-708.7620811,-270.8209952,-274.690474,-730.3205778,-261.0446934,-305.5795185,-729.0211738,-264.1797264,-268.0408569,-715.810081,-277.7919201,-306.0971057,-716.2601062,-286.75243,-289.3009548,-716.9384444,-238.7243766,-315.0005373,-714.9261446,-243.2207455,-271.5404919,-703.0257162,-270.0199582,-304.7870238,-702.7733293,-278.5828617,309.4301192,56.8703771,44.4919984
83_Femur_R,-312.4589518,-265.7056779,-446.4383716,-320.4918339,-540.353574,-643.7216955,-289.9675186,-533.0155799,-625.2350283,-348.4471125,-522.9608648,-643.780215,-300.279532,-548.7138232,-646.3083815,-334.0460756,-545.7701363,-648.5660943,-293.0104635,-525.8230582,-654.2318771,-334.6118791,-521.35148,-662.9607732,-316.2510664,-548.24474,-617.8633393,-344.3447185,-543.8820778,-621.0201767,-296.8361103,-517.9680725,-639.8865018,-333.1797552,-513.0488431,-647.8550606,338.2553827,62.16819242,48.63669376
84_Femur_R,-401.6707674,-8.855505172,-667.7992509,-411.9971604,-187.8125974,-1063.964627,-372.7576856,-191.5257367,-1038.667074,-447.9340991,-168.4118731,-1052.850479,-386.0139368,-195.4573579,-1072.21797,-429.4213456,-190.7290218,-1072.83938,-376.6694379,-164.8804355,-1066.325896,-430.1486947,-154.2917122,-1073.169538,-406.5455888,-213.2184015,-1040.248913,-442.6604089,-206.3324166,-1040.959251,-381.5873655,-165.3561668,-1045.306496,-428.3076776,-154.757791,-1051.015932,434.832474,79.91816323,62.52321482
85_Femur_R,-541.3156009,439.6478194,-785.3607796,-555.2320669,497.7337148,-1368.315109,-502.3505989,476.3538314,-1341.292163,-603.6628395,512.8874043,-1342.270911,-520.2155175,494.3728055,-1383.098918,-578.7139433,500.3100075,-1380.638075,-507.6223107,526.0891119,-1355.618585,-579.6941626,543.0587439,-1356.470854,-547.8852023,452.1020454,-1357.755508,-596.5556985,460.6173784,-1353.944565,-514.2500047,511.3703808,-1331.407244,-577.2130975,527.5870163,-1330.929267,586.0063049,107.7025069,84.26003139
86_Femur_R,-744.3987748,379.8994588,-353.835424,-1006.678184,430.0914517,-784.066264,-955.4300263,411.6171053,-786.6915506,-1031.668098,443.1857472,-743.6520516,-986.8615167,427.1872917,-810.2583547,-1029.574561,432.3176249,-783.1425967,-965.5647448,454.593336,-795.1348311,-1019.866649,469.2567866,-764.6339857,-996.6180163,390.6611492,-779.3383863,-1031.393195,398.0192442,-755.4584601,-960.0639569,441.874888,-774.1532129,-1006.974752,455.8876745,-746.5923395,506.3677521,93.06568219,72.80905059
87_Femur_R,-640.8861281,296.3442715,51.3036875,-985.8722666,335.4970242,-137.042619,-952.2754345,321.0859304,-158.8044476,-986.9914914,345.7113569,-99.99392257,-982.700784,333.2316059,-162.4658185,-1000.979692,337.2335723,-127.4883633,-962.4150909,354.6099576,-160.5554759,-987.2025853,366.048325,-118.7712182,-977.2320912,304.7390329,-137.7724598,-991.4106325,310.4787865,-108.0769804,-950.5155673,344.6888084,-148.5267828,-971.4566635,355.6196189,-111.611381,394.9970949,72.59679119,56.79540871
